Time,Entropy(log2)
1.158316633266533024e+01,4.051768413805214131e+00
1.162324649298597201e+01,4.064750593766503606e+00
1.166332665330661200e+01,4.077342848670412856e+00
1.170340681362725377e+01,4.089424407709491227e+00
1.174348697394789554e+01,4.100926043091406292e+00
1.178356713426853730e+01,4.111832260535425831e+00
1.182364729458917729e+01,4.122180495641297071e+00
1.186372745490981906e+01,4.132056885998997231e+00
1.190380761523046083e+01,4.141554021987532863e+00
1.194388777555110259e+01,4.150730770224755339e+00
1.198396793587174258e+01,4.159632306148991709e+00
1.202404809619238435e+01,4.168282256194973279e+00
1.206412825651302612e+01,4.176675386367390885e+00
1.210420841683366611e+01,4.184777454182130541e+00
1.214428857715430787e+01,4.192527779829062773e+00
1.218436873747494964e+01,4.199851182353264711e+00
1.222444889779559141e+01,4.206666916176225790e+00
1.226452905811623140e+01,4.212895030067323354e+00
1.230460921843687316e+01,4.218460919993466618e+00
1.234468937875751493e+01,4.223262340675793425e+00
1.238476953907815670e+01,4.227225259168869265e+00
1.242484969939879669e+01,4.230327723546990271e+00
1.246492985971943845e+01,4.232601196061739124e+00
1.250501002004008022e+01,4.234127973231716524e+00
1.254509018036072021e+01,4.235038042907276257e+00
1.258517034068136198e+01,4.235476672804746379e+00
1.262525050100200374e+01,4.235575198017937026e+00
1.266533066132264551e+01,4.235452792072358363e+00
1.270541082164328550e+01,4.235217654821529010e+00
1.274549098196392727e+01,4.234964354631250316e+00
1.278557114228456904e+01,4.234766473688909016e+00
1.282565130260520903e+01,4.234670261306849426e+00
1.286573146292585079e+01,4.234693736672439535e+00
1.290581162324649256e+01,4.234832882943713628e+00
1.294589178356713433e+01,4.235075932499901441e+00
1.298597194388777432e+01,4.235412461905763593e+00
1.302605210420841608e+01,4.235841879330981108e+00
1.306613226452905785e+01,4.236380514863823166e+00
1.310621242484969962e+01,4.237063854738953417e+00
1.314629258517033961e+01,4.237948929655129149e+00
1.318637274549098137e+01,4.239114937947346284e+00
1.322645290581162314e+01,4.240663730081699612e+00
1.326653306613226313e+01,4.242721433998872804e+00
1.330661322645290490e+01,4.245435029862962395e+00
1.334669338677354666e+01,4.248955170740854825e+00
1.338677354709418843e+01,4.253449856328565204e+00
1.342685370741482842e+01,4.259052359613246352e+00
1.346693386773547019e+01,4.265849840618936462e+00
1.350701402805611195e+01,4.273886334990202762e+00
1.354709418837675372e+01,4.283153272186916993e+00
1.358717434869739371e+01,4.293574201103746546e+00
1.362725450901803548e+01,4.305012485501016783e+00
1.366733466933867724e+01,4.317326542325469418e+00
1.370741482965931723e+01,4.330366079788061207e+00
1.374749498997995900e+01,4.343936766563454732e+00
1.378757515030060077e+01,4.357875950490123884e+00
1.382765531062124253e+01,4.372042768902688614e+00
1.386773547094188253e+01,4.386311469938452667e+00
1.390781563126252429e+01,4.400562665617593794e+00
1.394789579158316606e+01,4.414674112044885135e+00
1.398797595190380783e+01,4.428511877978525746e+00
1.402805611222444782e+01,4.441919117363958058e+00
1.406813627254508958e+01,4.454707360205283351e+00
1.410821643286573135e+01,4.466685669374599321e+00
1.414829659318637134e+01,4.477668237659707451e+00
1.418837675350701311e+01,4.487482460397230533e+00
1.422845691382765487e+01,4.495979027817029738e+00
1.426853707414829664e+01,4.503044160678949304e+00
1.430861723446893663e+01,4.508598952246979152e+00
1.434869739478957840e+01,4.512595470557464239e+00
1.438877755511022016e+01,4.515041152561352078e+00
1.442885771543086193e+01,4.515991887595015797e+00
1.446893787575150192e+01,4.515550516141834336e+00
1.450901803607214369e+01,4.513860731716541785e+00
1.454909819639278545e+01,4.511100561687930721e+00
1.458917835671342544e+01,4.507467684898673888e+00
1.462925851703406721e+01,4.503145451840242508e+00
1.466933867735470898e+01,4.498300086836386491e+00
1.470941883767535074e+01,4.493112629979913564e+00
1.474949899799599073e+01,4.487773831404783031e+00
1.478957915831663250e+01,4.482480408856805099e+00
1.482965931863727427e+01,4.477393711705216717e+00
1.486973947895791603e+01,4.472633545955289058e+00
1.490981963927855602e+01,4.468282504493211071e+00
1.494989979959919779e+01,4.464385379972927836e+00
1.498997995991983956e+01,4.460950713994320083e+00
1.503006012024047955e+01,4.457960635740471744e+00
1.507014028056112132e+01,4.455380098005784717e+00
1.511022044088176308e+01,4.453169938160042918e+00
1.515030060120240485e+01,4.451291198420712192e+00
1.519038076152304484e+01,4.449703202886874820e+00
1.523046092184368661e+01,4.448364062906693839e+00
1.527054108216432837e+01,4.447235344084163877e+00
1.531062124248497014e+01,4.446288413402925244e+00
1.535070140280561013e+01,4.445515777317385897e+00
1.539078156312625190e+01,4.444937354970145194e+00
