Time,Entropy(log2)
1.046092184368737499e+01,1.723246743962723038e+00
1.050100200400801498e+01,1.736021442395634384e+00
1.054108216432865675e+01,1.747818870192215934e+00
1.058116232464929851e+01,1.758370674807642420e+00
1.062124248496994028e+01,1.767467582279734994e+00
1.066132264529058027e+01,1.774967050550043668e+00
1.070140280561122204e+01,1.780795766190651719e+00
1.074148296593186380e+01,1.784950911026229159e+00
1.078156312625250379e+01,1.787497172531762546e+00
1.082164328657314556e+01,1.788561171020724538e+00
1.086172344689378733e+01,1.788325864191668835e+00
1.090180360721442909e+01,1.787019926907207790e+00
1.094188376753506908e+01,1.784910717923492651e+00
1.098196392785571085e+01,1.782290340069013324e+00
1.102204408817635262e+01,1.779465508141200303e+00
1.106212424849699438e+01,1.776743785965172906e+00
1.110220440881763437e+01,1.774421062893262180e+00
1.114228456913827614e+01,1.772766370986730289e+00
1.118236472945891791e+01,1.772011858955477415e+00
1.122244488977955790e+01,1.772341122614411457e+00
1.126252505010019966e+01,1.773881480827545820e+00
1.130260521042084143e+01,1.776698633256291515e+00
1.134268537074148320e+01,1.780795236181311081e+00
1.138276553106212319e+01,1.786111966969374132e+00
1.142284569138276495e+01,1.792531902397369370e+00
1.146292585170340672e+01,1.799890315076306591e+00
1.150300601202404849e+01,1.807982809581349493e+00
1.154308617234468848e+01,1.816579518117158454e+00
1.158316633266533024e+01,1.825438091609121072e+00
1.162324649298597201e+01,1.834319562747613652e+00
1.166332665330661200e+01,1.843000218017106340e+00
1.170340681362725377e+01,1.851287207732499107e+00
1.174348697394789554e+01,1.859028769925085811e+00
1.178356713426853730e+01,1.866123359532555925e+00
1.182364729458917729e+01,1.872525690143283406e+00
1.186372745490981906e+01,1.878249497572658022e+00
1.190380761523046083e+01,1.883365607955650889e+00
1.194388777555110259e+01,1.887996841362376887e+00
1.198396793587174258e+01,1.892309868953367502e+00
1.202404809619238435e+01,1.896502428384144734e+00
1.206412825651302612e+01,1.900790928200855490e+00
1.210420841683366611e+01,1.905396068957231570e+00
1.214428857715430787e+01,1.910527318180325507e+00
1.218436873747494964e+01,1.916370962827974145e+00
1.222444889779559141e+01,1.923079204306415768e+00
1.226452905811623140e+01,1.930761906512338921e+00
1.230460921843687316e+01,1.939481399616956203e+00
1.234468937875751493e+01,1.949251733981400614e+00
1.238476953907815670e+01,1.960039842811907240e+00
1.242484969939879669e+01,1.971769630825095598e+00
1.246492985971943845e+01,1.984329854287429029e+00
1.250501002004008022e+01,1.997582415633878172e+00
1.254509018036072021e+01,2.011372468782449463e+00
1.258517034068136198e+01,2.025538443975197112e+00
1.262525050100200374e+01,2.039923931432806370e+00
1.266533066132264551e+01,2.054386551393843074e+00
1.270541082164328550e+01,2.068806725197457563e+00
1.274549098196392727e+01,2.083094162560993112e+00
1.278557114228456904e+01,2.097191789706137843e+00
1.282565130260520903e+01,2.111076210452023538e+00
1.286573146292585079e+01,2.124755632378644954e+00
1.290581162324649256e+01,2.138266069748073761e+00
1.294589178356713433e+01,2.151664795550777942e+00
1.298597194388777432e+01,2.165022360948814839e+00
1.302605210420841608e+01,2.178413924562144999e+00
1.306613226452905785e+01,2.191911295912061686e+00
1.310621242484969962e+01,2.205574839019686539e+00
1.314629258517033961e+01,2.219446717953851067e+00
1.318637274549098137e+01,2.233547669570949523e+00
1.322645290581162314e+01,2.247874441495810061e+00
1.326653306613226313e+01,2.262399477192100328e+00
1.330661322645290490e+01,2.277073184242609738e+00
1.334669338677354666e+01,2.291827900137642260e+00
1.338677354709418843e+01,2.306581996782893995e+00
1.342685370741482842e+01,2.321246475693715450e+00
1.346693386773547019e+01,2.335728774386621520e+00
1.350701402805611195e+01,2.349936520004161977e+00
1.354709418837675372e+01,2.363782406717464202e+00
1.358717434869739371e+01,2.377185451106604841e+00
1.362725450901803548e+01,2.390073280628396635e+00
1.366733466933867724e+01,2.402381948967221792e+00
1.370741482965931723e+01,2.414056568011962778e+00
1.374749498997995900e+01,2.425050814036172397e+00
1.378757515030060077e+01,2.435324933562025507e+00
1.382765531062124253e+01,2.444844684694080783e+00
1.386773547094188253e+01,2.453579278418458909e+00
1.390781563126252429e+01,2.461500419521569505e+00
1.394789579158316606e+01,2.468581068709961190e+00
1.398797595190380783e+01,2.474794754971172850e+00
1.402805611222444782e+01,2.480114977784300567e+00
1.406813627254508958e+01,2.484516055563047665e+00
1.410821643286573135e+01,2.487973734669075121e+00
1.414829659318637134e+01,2.490469264580422504e+00
1.418837675350701311e+01,2.491990632669783157e+00
1.422845691382765487e+01,2.492535913016745486e+00
1.426853707414829664e+01,2.492117220496195884e+00
1.430861723446893663e+01,2.490763962031787404e+00
1.434869739478957840e+01,2.488525581056373781e+00
1.438877755511022016e+01,2.485473930680689225e+00
1.442885771543086193e+01,2.481705278014472604e+00
1.446893787575150192e+01,2.477338967518275314e+00
1.450901803607214369e+01,2.472513648417986598e+00
1.454909819639278545e+01,2.467386896421191356e+00
1.458917835671342544e+01,2.462126530628060639e+00
1.462925851703406721e+01,2.456905657366244444e+00
1.466933867735470898e+01,2.451892005693417254e+00
1.470941883767535074e+01,2.447243094429799815e+00
1.474949899799599073e+01,2.443096072776486771e+00
1.478957915831663250e+01,2.439563401442710777e+00
1.482965931863727427e+01,2.436727137118984921e+00
1.486973947895791603e+01,2.434638118707535437e+00
1.490981963927855602e+01,2.433318398439451080e+00
1.494989979959919779e+01,2.432764525246441600e+00
1.498997995991983956e+01,2.432955210234258203e+00
1.503006012024047955e+01,2.433858151310898776e+00
1.507014028056112132e+01,2.435441645267747646e+00
1.511022044088176308e+01,2.437680320311969684e+00
1.515030060120240485e+01,2.440562482961527557e+00
1.519038076152304484e+01,2.444094809002642865e+00
1.523046092184368661e+01,2.448306262980079584e+00
1.527054108216432837e+01,2.453251547455002068e+00
1.531062124248497014e+01,2.459010604625683438e+00
1.535070140280561013e+01,2.465685624748149340e+00
1.539078156312625190e+01,2.473396870077619880e+00
1.543086172344689366e+01,2.482274859132774569e+00
1.547094188376753365e+01,2.492451070486618736e+00
1.551102204408817542e+01,2.504047989373570093e+00
1.555110220440881719e+01,2.517169628512992752e+00
1.559118236472945895e+01,2.531892917834777990e+00
1.563126252505009894e+01,2.548258514068426184e+00
1.567134268537074071e+01,2.566263882257901585e+00
1.571142284569138248e+01,2.585859131054145443e+00
1.575150300601202424e+01,2.606943807669482194e+00
1.579158316633266423e+01,2.629368398973263243e+00
1.583166332665330600e+01,2.652935929092443690e+00
1.587174348697394777e+01,2.677407016659094197e+00
1.591182364729458776e+01,2.702508027008352798e+00
1.595190380761522952e+01,2.727938999502844908e+00
1.599198396793587129e+01,2.753383632040051765e+00
1.603206412825651128e+01,2.778519440404127128e+00
1.607214428857715305e+01,2.803028696623866001e+00
1.611222444889779482e+01,2.826609282338908180e+00
1.615230460921843658e+01,2.848984191552545564e+00
1.619238476953907835e+01,2.869909661301248249e+00
1.623246492985972012e+01,2.889180280087805919e+00
1.627254509018035833e+01,2.906636227193487354e+00
1.631262525050100010e+01,2.922163365593292816e+00
1.635270541082164186e+01,2.935694038264422101e+00
1.639278557114228363e+01,2.947206030801144294e+00
1.643286573146292540e+01,2.956718502378114621e+00
1.647294589178356716e+01,2.964287967771574106e+00
1.651302605210420893e+01,2.970002069689948510e+00
1.655310621242485070e+01,2.973974224930206134e+00
1.659318637274548891e+01,2.976337136744902523e+00
1.663326653306613068e+01,2.977239836856318433e+00
1.667334669338677244e+01,2.976844296499209008e+00
1.671342685370741421e+01,2.975323797266177461e+00
1.675350701402805598e+01,2.972861379452815811e+00
1.679358717434869774e+01,2.969650947048531275e+00
1.683366733466933951e+01,2.965895803855006285e+00
1.687374749498997772e+01,2.961807402840655801e+00
1.691382765531061949e+01,2.957603849912026739e+00
1.695390781563126126e+01,2.953505329230232235e+00
1.699398797595190302e+01,2.949729346593969570e+00
1.703406813627254479e+01,2.946483613873196461e+00
1.707414829659318656e+01,2.943958560080219389e+00
1.711422845691382832e+01,2.942316944252284294e+00
1.715430861723446654e+01,2.941684898876156584e+00
1.719438877755510831e+01,2.942145736378981358e+00
1.723446893787575007e+01,2.943735775976783042e+00
1.727454909819639184e+01,2.946442116770521036e+00
1.731462925851703361e+01,2.950204030155843427e+00
1.735470941883767537e+01,2.954919230667680807e+00
1.739478957915831714e+01,2.960449798714616776e+00
1.743486973947895891e+01,2.966630515901784726e+00
1.747494989979959712e+01,2.973279333670475033e+00
1.751503006012023889e+01,2.980206978454174038e+00
1.755511022044088065e+01,2.987226199548080885e+00
1.759519038076152242e+01,2.994159417390928279e+00
1.763527054108216419e+01,3.000848403960391764e+00
1.767535070140280595e+01,3.007159823378625418e+00
1.771543086172344772e+01,3.012990809334859410e+00
1.775551102204408593e+01,3.018271129001195430e+00
1.779559118236472770e+01,3.022966773766871729e+00
1.783567134268536947e+01,3.027078942984268828e+00
1.787575150300601123e+01,3.030641697724101746e+00
1.791583166332665300e+01,3.033716920938927863e+00
1.795591182364729477e+01,3.036388727835266810e+00
1.799599198396793653e+01,3.038756998056451941e+00
1.803607214428857475e+01,3.040929454632697038e+00
1.807615230460921651e+01,3.043014425749066554e+00
1.811623246492985828e+01,3.045112765996414783e+00
1.815631262525050005e+01,3.047311281444009090e+00
1.819639278557114181e+01,3.049677265667997350e+00
1.823647294589178358e+01,3.052253764269470704e+00
1.827655310621242535e+01,3.055055768773683234e+00
1.831663326653306711e+01,3.058072180917635219e+00
1.835671342685370533e+01,3.061263967595447610e+00
1.839679358717434710e+01,3.064567468013210672e+00
1.843687374749498886e+01,3.067897445168860759e+00
1.847695390781563063e+01,3.071154685708617382e+00
1.851703406813627240e+01,3.074231219680939375e+00
1.855711422845691416e+01,3.077017164711643549e+00
1.859719438877755593e+01,3.079409408682879157e+00
1.863727454909819414e+01,3.081317120195075532e+00
1.867735470941883591e+01,3.082668172265119466e+00
1.871743486973947768e+01,3.083412100918625054e+00
1.875751503006011944e+01,3.083523188765143086e+00
1.879759519038076121e+01,3.083000721859673110e+00
1.883767535070140298e+01,3.081868641299274625e+00
1.887775551102204474e+01,3.080172353645605376e+00
1.891783567134268296e+01,3.077975042142675921e+00
1.895791583166332472e+01,3.075353120250022609e+00
1.899799599198396649e+01,3.072393066766062386e+00
1.903807615230460826e+01,3.069185690956433010e+00
1.907815631262525002e+01,3.065821990083344328e+00
1.911823647294589179e+01,3.062390439997565217e+00
1.915831663326653356e+01,3.058974541801011249e+00
