# time correlation fidelity
4.288577154308616635e+00 -8.680589688159153772e-01 6.252493139918728381e-10
4.328657314629258401e+00 -8.873493363106050857e-01 6.315868989128039837e-10
4.368737474949899280e+00 -9.051235815750399150e-01 6.313175247789517851e-10
4.408817635270541047e+00 -9.213526018066022782e-01 6.234574431480505846e-10
4.448897795591181925e+00 -9.360112412782132241e-01 6.078281636922140649e-10
4.488977955911823692e+00 -9.490781717126909323e-01 5.849928892452776321e-10
4.529058116232464570e+00 -9.605358216559964912e-01 5.560904562098896300e-10
4.569138276553106337e+00 -9.703704357817016790e-01 5.226097110953493289e-10
4.609218436873747216e+00 -9.785718077341230003e-01 4.861672980827054119e-10
4.649298597194388982e+00 -9.851331719330269632e-01 4.483245544144054294e-10
4.689378757515029861e+00 -9.900510989774883308e-01 4.104627901620403572e-10
4.729458917835670739e+00 -9.933255372269538253e-01 3.737146583832931443e-10
4.769539078156312506e+00 -9.949596192748512147e-01 3.389543924803836984e-10
4.809619238476953385e+00 -9.949595726062083756e-01 3.068265437617901658e-10
4.849699398797595151e+00 -9.933346477258596652e-01 2.777947318578182469e-10
4.889779559118236030e+00 -9.900971125108943838e-01 2.521878907332183691e-10
4.929859719438877796e+00 -9.852621485658765721e-01 2.302447820713141154e-10
4.969939879759518675e+00 -9.788477949005646161e-01 2.121531059393798186e-10
5.010020040080160442e+00 -9.708749326091902221e-01 1.980824388076976410e-10
5.050100200400801320e+00 -9.613672482698062405e-01 1.882129040993433170e-10
5.090180360721443087e+00 -9.503511799507721181e-01 1.827665414967649125e-10
5.130260521042083965e+00 -9.378559154609608095e-01 1.820406331194973249e-10
5.170340681362724844e+00 -9.239134163654456611e-01 1.864339216568493171e-10
5.210420841683366611e+00 -9.085584033563414152e-01 1.964592440946534139e-10
5.250501002004007489e+00 -8.918282696187992409e-01 2.127318774953945038e-10
5.290581162324649256e+00 -8.737631497773715727e-01 2.359216823663251799e-10
5.330661322645290134e+00 -8.544059572917948042e-01 2.666684899343521185e-10
5.370741482965931901e+00 -8.338024211805589170e-01 3.054641172359236102e-10
5.410821643286572780e+00 -8.120009097566677214e-01 3.525142879404073751e-10
5.450901803607214546e+00 -7.890525492196830415e-01 4.075882362519035618e-10
5.490981963927855425e+00 -7.650112562404511873e-01 4.698889316803465951e-10
5.531062124248497192e+00 -7.399338182174630685e-01 5.379632278759840146e-10
5.571142284569138070e+00 -7.138796174501126357e-01 6.096772736518477694e-10
5.611222444889778949e+00 -6.869107361372721599e-01 6.822542914518728696e-10
5.651302605210420715e+00 -6.590919799938969037e-01 7.523904968020246037e-10
5.691382765531061594e+00 -6.304909581194586554e-01 8.164375356742688372e-10
5.731462925851703361e+00 -6.011777514030327563e-01 8.706376015513532137e-10
5.771543086172344239e+00 -5.712249034606058373e-01 9.113737586583021136e-10
