# time correlation fidelity
1.174348697394789554e+01 -7.066756304739624239e-01 2.887621326808091811e-04
1.178356713426853730e+01 -7.120178910167459518e-01 2.137010292835159122e-04
1.182364729458917729e+01 -7.132820620783388854e-01 1.680754359276121293e-04
1.186372745490981906e+01 -7.104447715409186737e-01 1.391156362666368020e-04
1.190380761523046083e+01 -7.036107083393233763e-01 1.193052672302011806e-04
1.194388777555110259e+01 -6.929779354354173027e-01 1.054385581720699411e-04
1.198396793587174258e+01 -6.787748053263611414e-01 9.743687777424083233e-05
1.202404809619238435e+01 -6.612087285346242016e-01 9.659408082380743527e-05
1.206412825651302612e+01 -6.404541924408222453e-01 1.039855371046327165e-04
1.210420841683366611e+01 -6.166830702274128662e-01 1.192774317582311945e-04
1.214428857715430787e+01 -5.901122909360809743e-01 1.397211858677590765e-04
1.218436873747494964e+01 -5.610335451052289590e-01 1.600558488639681153e-04
1.222444889779559141e+01 -5.298028338574318763e-01 1.742415002645806839e-04
1.226452905811623140e+01 -4.967944543099853671e-01 1.785341245556015051e-04
1.230460921843687316e+01 -4.623497331016529488e-01 1.739613703884395203e-04
1.234468937875751493e+01 -4.267600685773640379e-01 1.656812005950303746e-04
1.238476953907815670e+01 -3.903029866595342789e-01 1.588729330265864991e-04
1.242484969939879669e+01 -3.533136647377707606e-01 1.546153891598199927e-04
1.246492985971943845e+01 -3.162400986492615584e-01 1.493955903265909433e-04
1.250501002004008022e+01 -2.796273683373693419e-01 1.382877491727744481e-04
1.254509018036072021e+01 -2.440212813344961318e-01 1.187542282476055847e-04
1.258517034068136198e+01 -2.098418566930624618e-01 9.239123036576273767e-05
1.262525050100200374e+01 -1.773173229022672048e-01 6.425819704266567901e-05
1.266533066132264551e+01 -1.465473260520886445e-01 4.015802935746401437e-05
1.270541082164328550e+01 -1.176796069815487789e-01 2.327577427762425117e-05
1.274549098196392727e+01 -9.109011610796967362e-02 1.369499886287695742e-05
1.278557114228456904e+01 -6.742207287009459316e-02 1.243000138192196257e-05
1.282565130260520903e+01 -4.741214635254203252e-02 2.587253334106489773e-05
1.286573146292585079e+01 -3.158153014924006130e-02 6.492296948710879706e-05
1.290581162324649256e+01 -1.999129948964495362e-02 1.388276159690820057e-04
1.294589178356713433e+01 -1.225671427628209631e-02 2.482619924558637477e-04
1.298597194388777432e+01 -7.864565107736004590e-03 3.826837876341904351e-04
1.302605210420841608e+01 -6.616815649300061483e-03 5.287687162062547743e-04
1.306613226452905785e+01 -8.893689888958031947e-03 6.924613473958593762e-04
1.310621242484969962e+01 -1.550549303798843051e-02 9.215888104802011675e-04
1.314629258517033961e+01 -2.716800019814898798e-02 1.309419003705618745e-03
1.318637274549098137e+01 -4.392361251906019143e-02 1.974989253362723074e-03
1.322645290581162314e+01 -6.491753528175943366e-02 3.019434088135560575e-03
1.326653306613226313e+01 -8.874292418862428367e-02 4.458604151425116929e-03
1.330661322645290490e+01 -1.141922409824374374e-01 6.197486037370083037e-03
1.334669338677354666e+01 -1.409363715066062894e-01 8.161287805514980814e-03
1.338677354709418843e+01 -1.696400797573773545e-01 1.057410789159018982e-02
1.342685370741482842e+01 -2.013674389331541470e-01 1.415210215235404925e-02
1.346693386773547019e+01 -2.366222517641086431e-01 1.993850781830414087e-02
1.350701402805611195e+01 -2.746646758291808599e-01 2.874566906882316392e-02
1.354709418837675372e+01 -3.136100618137500629e-01 4.050042731634680149e-02
1.358717434869739371e+01 -3.513151826411495815e-01 5.406607575409817096e-02
1.362725450901803548e+01 -3.865160871848668522e-01 6.803846711296064609e-02
1.366733466933867724e+01 -4.194561771372087855e-01 8.224968337273480534e-02
1.370741482965931723e+01 -4.515362194954528618e-01 9.875231800607438271e-02
1.374749498997995900e+01 -4.841639025328660639e-01 1.210611252027059964e-01
1.378757515030060077e+01 -5.175436498846254230e-01 1.517574846252973952e-01
1.382765531062124253e+01 -5.502313317373197510e-01 1.900815787775202159e-01
1.386773547094188253e+01 -5.797936883694595478e-01 2.315085513827194186e-01
1.390781563126252429e+01 -6.041804250210249805e-01 2.701564977412810320e-01
1.394789579158316606e+01 -6.229203089427307605e-01 3.027296907792584313e-01
1.398797595190380783e+01 -6.373315261581006252e-01 3.310259031003597308e-01
1.402805611222444782e+01 -6.495712717816113368e-01 3.605808835360850284e-01
1.406813627254508958e+01 -6.611320469825120449e-01 3.959066076781982413e-01
1.410821643286573135e+01 -6.717723752743057775e-01 4.357687114171986398e-01
1.414829659318637134e+01 -6.795984255926249551e-01 4.723907485537301998e-01
1.418837675350701311e+01 -6.822566732212773655e-01 4.956828557837639759e-01
1.422845691382765487e+01 -6.784583549567749783e-01 4.995634768683830940e-01
1.426853707414829664e+01 -6.688376523702602716e-01 4.855470344049749865e-01
1.430861723446893663e+01 -6.555740448214585347e-01 4.608667286493106641e-01
1.434869739478957840e+01 -6.410297208838225957e-01 4.328155273874874642e-01
1.438877755511022016e+01 -6.263018760550289610e-01 4.038975147191022907e-01
1.442885771543086193e+01 -6.106316856498377188e-01 3.714622459226624152e-01
1.446893787575150192e+01 -5.920412590295931476e-01 3.316465708889854702e-01
1.450901803607214369e+01 -5.687619050967067658e-01 2.838671242335563671e-01
1.454909819639278545e+01 -5.405069977125395164e-01 2.320242216218642850e-01
1.458917835671342544e+01 -5.087688497016895628e-01 1.819873125069004505e-01
1.462925851703406721e+01 -4.759767610755756828e-01 1.381711255949241435e-01
1.466933867735470898e+01 -4.440966192463933204e-01 1.020292432708453378e-01
1.470941883767535074e+01 -4.135970469310418229e-01 7.290582201887023384e-02
1.474949899799599073e+01 -3.834235740901902334e-01 4.972485597152525444e-02
1.478957915831663250e+01 -3.519522662832392790e-01 3.191536005230312389e-02
1.482965931863727427e+01 -3.182662120277450213e-01 1.920526579129079939e-02
1.486973947895791603e+01 -2.829165529122905087e-01 1.104580201068296706e-02
1.490981963927855602e+01 -2.477129509272365804e-01 6.449375715053742159e-03
1.494989979959919779e+01 -2.147320393020051288e-01 4.279947360086721816e-03
1.498997995991983956e+01 -1.852211283685425425e-01 3.578586560043895293e-03
1.503006012024047955e+01 -1.590948412327168604e-01 3.678224141072348151e-03
1.507014028056112132e+01 -1.352962186671858025e-01 4.172722782887773943e-03
1.511022044088176308e+01 -1.127312036933795503e-01 4.866297203116150966e-03
1.515030060120240485e+01 -9.122797359147535867e-02 5.730873316516929897e-03
