# Eigenenergy Overlap Log2(Overlap)
1.223917795008592657e+00 5.472692054543530638e-02 -4.191605510624195396e+00
1.223917795008597542e+00 2.762354933843438887e-02 -5.177957486979234858e+00
1.324068608720072371e+00 1.366154852273324892e-06 -1.948144754840116732e+01
1.324068608720074369e+00 8.935962390359563669e-04 -1.012808926572418500e+01
1.343513957235602518e+00 1.340704873053020357e-02 -6.220864495442326003e+00
1.414213562373095812e+00 2.236395978328332558e-30 -9.849666719091192135e+01
1.488517766153195643e+00 4.633779382610323198e-06 -1.771937921117900316e+01
1.488517766153199196e+00 4.123785250791327933e-02 -4.599886984538450463e+00
1.555521774759915044e+00 2.205411067171353552e-03 -8.824736699492769176e+00
1.555521774759918152e+00 5.219141845086068497e-06 -1.754775595747469197e+01
1.943519346535967030e+00 4.416876288277131468e-03 -7.822757859978960226e+00
1.943519346535968140e+00 1.665186531416770754e-02 -5.908172395134721810e+00
1.959258902775874667e+00 7.046658129015835473e-04 -1.047077315661448793e+01
1.964040707234373295e+00 2.635333659035523431e-05 -1.521165484169703674e+01
1.964080191700707800e+00 1.046293761088048493e-03 -9.900496320109255066e+00
1.964080191700707800e+00 1.814874260645939848e-04 -1.242784278164603506e+01
2.286902749829977211e+00 6.826326033285957072e-04 -1.051660305867082990e+01
2.286902749829981651e+00 1.415826301361679230e-04 -1.278606809826369428e+01
2.419990763616577834e+00 1.526473806599788242e-03 -9.355581450710454661e+00
2.419990763616584939e+00 4.082149142906881661e-02 -4.614527297016666196e+00
2.564274364345646262e+00 1.105085136698041176e-02 -6.499698669424425646e+00
2.564274364345646262e+00 1.188830154738780391e-02 -6.394313574286628388e+00
2.626576700266944453e+00 1.584390674351548778e-05 -1.594571235969131706e+01
2.626576700266945341e+00 3.752300960264065213e-06 -1.802379302279621953e+01
2.661720461179688524e+00 3.324322696534219579e-02 -4.910795756495293318e+00
3.087366486792876952e+00 4.267083886329320341e-03 -7.872533811994702369e+00
3.087366486792882725e+00 9.786533905342616885e-03 -6.674986293370917423e+00
3.087728703840476374e+00 7.347413386281372678e-04 -1.041047593253488301e+01
3.529036976415899307e+00 1.078535456099453081e-02 -6.534782584905433289e+00
3.529036976415901083e+00 3.226229322899969946e-03 -8.275935294633509187e+00
3.563324053972000804e+00 3.671501820896834641e-03 -8.089413969178426811e+00
3.563324053972003469e+00 1.872772391167421837e-04 -1.238253680836548654e+01
3.920746018090864204e+00 3.209720474045644339e-02 -4.961408527401451884e+00
3.948463195711207518e+00 1.035366475551521793e-03 -9.915642774059302056e+00
3.948463195711210183e+00 2.388230017545931588e-03 -8.709842491111370322e+00
4.621064444625866408e+00 5.405793128663964348e-05 -1.417513417121407038e+01
4.621064444625872625e+00 1.871096309072775880e-03 -9.061900465770325042e+00
5.066848541759466862e+00 1.603850341875763877e-02 -5.962316662138295698e+00
6.036323169259001808e+00 3.430127018187414945e-03 -8.187522284031876652e+00
